Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
444;Admiral Schofield;PF;26;ORL;17;0;3.4;0.4;1;0.353;0.2;0.6;0.273;0.2;0.4;0.5;0.441;0;0.1;0;0.1;0.5;0.6;0.3;0;0;0.2;0.4;0.9
445;Dennis Schröder;PG;30;TOT;66;44;30.5;5;11.1;0.447;1.7;4.4;0.382;3.3;6.7;0.49;0.523;2.2;2.7;0.821;0.4;2.3;2.7;6;0.8;0.2;1.8;2;13.9
445;Dennis Schröder;PG;30;TOR;51;33;30.6;4.8;11;0.442;1.5;4.3;0.35;3.3;6.6;0.501;0.511;2.5;2.9;0.852;0.4;2.3;2.7;6.1;0.9;0.2;1.6;2.1;13.7
445;Dennis Schröder;PG;30;BRK;15;11;30.1;5.4;11.7;0.463;2.3;4.9;0.479;3.1;6.8;0.451;0.563;1.3;2;0.667;0.3;2.4;2.7;5.7;0.5;0.2;2.5;1.9;14.5
446;Dereon Seabron;SG;23;NOP;6;0;9.2;0.7;2.2;0.308;0.2;0.3;0.5;0.5;1.8;0.273;0.346;0.8;1;0.833;0.2;1;1.2;0.8;0.3;0.2;0;0.7;2.3
447;Alperen Sengun;C;21;HOU;63;63;32.5;8.4;15.6;0.537;0.5;1.8;0.297;7.8;13.8;0.567;0.553;3.9;5.6;0.693;2.9;6.4;9.3;5;1.2;0.7;2.6;3.3;21.1
448;Brice Sensabaugh;SF;20;UTA;16;4;13.9;2.1;4.5;0.458;0.6;2.2;0.286;1.4;2.3;0.622;0.528;0.8;0.8;0.923;0.3;1.8;2.1;1;0.3;0;1.1;1.1;5.5
449;Collin Sexton;SG;25;UTA;66;43;25.6;6.2;12.8;0.486;1.7;4.2;0.404;4.5;8.6;0.525;0.552;4.1;4.8;0.861;0.9;1.7;2.6;4.7;0.8;0.2;2;2;18.2
450;Landry Shamet;SG;26;WAS;46;5;15.8;2.6;6;0.431;1.2;3.4;0.338;1.4;2.5;0.556;0.527;0.8;1;0.826;0.3;1;1.3;1.2;0.5;0.2;0.7;1.7;7.1
451;Day'Ron Sharpe;C;22;BRK;49;1;15.5;2.8;4.8;0.582;0.1;0.2;0.333;2.7;4.6;0.596;0.591;1.4;2.2;0.618;2.6;3.9;6.5;1.5;0.4;0.7;1;2.2;7.1
