Rk,Player,Pos,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,allstar_selected
284,A.J. Lawson,SG,TOT,-0.8695692186816725,-1.341827253975628,-0.8368198052855527,-1.3206912034592286,-0.7595133373567867,-0.8489794354925527,0.3353388498985884,-0.33305316737314616,-0.48262729998474746,0.6182912107145676,-0.7912676853098015,-0.8606518528168918,0.7284726974607953,0.7741386095327526,-0.8641970470390499,-0.7221498508241743,-2.210406501253408,-0.6242675851270862,-0.9462613077508691,-0.9136507970587354,-1.0192525374333534,-1.2799961625323033,-0.994970103357208,-1.09389349205004,-1.2478495606789473,-0.7929763178341057,0
285,Damion Lee,SG,PHO,0.9968232506838688,1.0540991078255482,-0.6534678235583523,0.06333839861048778,-0.2665346854728231,-0.20282299284073266,-0.19401699364461772,0.5845987544881998,0.23080736492242784,0.9468049744797775,-0.5882964622844676,-0.4335221351798795,-0.6485093372587274,0.30278540527384606,-0.08721254603146365,-0.2431849989854993,0.8658849405587483,-0.4903717521053993,-0.09958991851162886,-0.2313991325133606,-0.3979609143894433,-0.5265364629273763,-0.7346356928185989,-0.004491453467666019,-0.11107618624635139,-0.13471831485432434,0
286,Saben Lee,PG,TOT,-0.6362701600109798,-0.9357380401110219,-0.8001494089401125,-0.5133406022518939,-0.5541055657384686,-0.4653240476680346,-0.5317095145256283,-0.6771726380711508,-0.7055756327682398,0.3773811172867468,-0.4360680450154671,-0.20571961910680614,-0.7983363980313181,-0.7718999004364594,0.1717822876377317,0.23577985285317563,0.08034874670151554,-0.4903717521053993,-0.7769270299030211,-0.7430878809223916,0.3268793124951186,0.4780764698791931,-0.994970103357208,-0.12553612442126325,-0.49000064439054997,-0.45653333853332856,0
287,Alex Len,C,SAC,0.7635241920131761,-0.8951291187245614,-0.7634790125946724,-1.4255419308887527,-1.1292473262697593,-1.1922500456513323,0.6365240712248956,-1.1359985990018238,-1.1960619648919228,-2.3018311338650768,-0.8927532968224685,-0.91760248183516,0.29326075902612714,0.010546418633325018,-0.6699509217871533,-0.6689315339532105,-0.1501379209571936,0.045211579981348886,-0.7204822706204052,-0.5298842357519622,-0.8121553297520501,-1.028842929330661,0.04636753879722917,-0.6097148082356517,-0.7426169498200156,-1.0855354302695641,0
288,Kawhi Leonard,SF,LAC,1.2301223093545615,0.16070283732341462,0.9967000119864508,1.4473680006802045,2.1572770196233306,1.9577626122762912,0.44486074856270014,1.158131205651541,0.8996523632729048,0.7350961044977531,2.151815048557541,2.157731485151329,0.1505683201950892,0.3782019179552711,2.1142435401566972,1.8855476758530563,0.7106592256049238,0.31300324602472307,1.537308100684236,1.2610263836796467,0.9481709355390285,1.9849958690890468,0.3067019493358384,0.7217765722539164,-0.11107618624635139,2.147242762142252,0
289,Meyers Leonard,C,MIL,0.9968232506838688,-1.5854807822943917,-0.7634790125946724,-0.7440122025968468,-0.718431783033123,-0.7884022689939446,0.18018282679109682,-0.21834667714047784,-0.3488583003146521,0.5379878462386274,-0.7912676853098015,-0.8891271673260258,0.7570111852270031,0.6704409045957932,-0.34620737970065907,-0.4560582664693548,0.7953277973979189,0.5807949120680971,-0.15603467779424493,0.1097266997593267,-1.0192525374333534,-1.028842929330661,-0.994970103357208,-0.4886701372820546,0.14154011918311424,-0.6320688059946036,0
290,Caris LeVert,SG,CLE,0.5302251333424834,1.0540991078255482,0.26329208507764945,1.0908755274198227,0.39077018370579486,0.5846801716411733,-0.2944120674200535,0.8140117349535362,0.7212936970461111,0.5598887638229747,0.12210281830420144,0.36378667107587687,-0.4844130326030328,-0.1402866067295251,0.2365309960550306,0.28899816972413955,0.00979160354068621,-0.22258008606202528,0.2390786371840673,0.1097266997593267,0.9481709355390285,0.9803829362824776,-0.2139668717413802,0.6007319013003195,0.7730808827567782,0.4357719543948197,0
291,Kira Lewis Jr.,PG,NOP,-1.1028682773523653,-0.9357380401110219,-0.8368198052855527,-1.0900196031142757,-0.718431783033123,-0.7278251024953365,-0.07536827009183003,-0.4477596576058144,-0.6163962996548429,0.9176037510339811,-0.6897820737971346,-0.6043740222346843,-0.47727841066148086,0.07653586722957194,-0.4109560881179579,-0.5092765833403187,0.6777325587965367,-0.8920592511704605,-0.8898165484682531,-0.9562915260928212,-0.6050581220707468,-0.5265364629273763,-0.7346356928185989,-0.8518041501428458,-0.8689251025347486,-0.6613247172381495,0
292,Damian Lillard,PG,POR,1.4634213680252541,0.4043563656421783,1.2900631827499711,1.7304649647399188,2.568092562859967,2.7452657767581967,-0.0023536709824222126,3.6816739907702423,3.797980689458305,0.40658234073254323,1.5429013794815396,1.445848622422975,0.31466462485078295,0.30278540527384606,4.768940585265951,4.120716984433539,0.9129230359993011,-0.08868425304033813,0.7470814707276114,0.5361339901001859,2.708497200830107,0.7292297030808353,-0.2139668717413802,2.6584913075114702,0.26784827189784693,3.3759910343711774,1
293,Nassir Little,SF,POR,-0.8695692186816725,0.24192068009633583,-0.6901382199037923,-0.17781827447741708,-0.34869779412015045,-0.3037849370050796,-0.19401699364461772,0.1257727935575269,0.05244869869563404,0.3773811172867468,-0.48681085077180064,-0.4619974496890135,-0.0420664722268131,0.05768173905921568,-0.5404535049525557,-0.5092765833403187,-0.013727444179590233,-0.4903717521053993,-0.3253689556420929,-0.40196204864970425,-0.6050581220707468,-0.5265364629273763,0.04636753879722917,-0.4886701372820546,-0.616308797105283,-0.36876560480269105,0
